GAME_ID,TEAM_ID,TOTAL_PTS,TOTAL_REB,TOTAL_AST,TOTAL_STL,TOTAL_BLK,TOTAL_TO,TOTAL_PF,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,IS_HOME,TEAM_WON
10800018,1610612765.0,85.0,30.0,25.0,5.0,10.0,17.0,22.0,1610612765,1610612749,1,1,1
10800019,1610612756.0,96.0,45.0,19.0,6.0,5.0,20.0,27.0,1610612762,1610612756,0,0,1
10800019,1610612762.0,89.0,35.0,20.0,11.0,6.0,14.0,26.0,1610612762,1610612756,0,1,0
10800020,1610612746.0,107.0,38.0,26.0,13.0,6.0,19.0,19.0,1610612747,1610612746,0,0,1
10800020,1610612747.0,80.0,39.0,13.0,12.0,4.0,25.0,29.0,1610612747,1610612746,0,1,0
10800021,1610612741.0,102.0,43.0,11.0,7.0,6.0,24.0,26.0,1610612741,1610612742,0,1,0
10800021,1610612742.0,110.0,41.0,21.0,15.0,6.0,14.0,32.0,1610612741,1610612742,0,0,1
10800022,1610612745.0,85.0,45.0,21.0,6.0,2.0,20.0,19.0,1610612745,1610612759,1,1,1
10800022,1610612759.0,78.0,36.0,14.0,13.0,4.0,13.0,21.0,1610612745,1610612759,1,0,0
10800023,1610612748.0,98.0,48.0,18.0,14.0,4.0,23.0,24.0,1610612748,1610612751,0,1,0
10800023,1610612751.0,100.0,41.0,11.0,15.0,3.0,19.0,26.0,1610612748,1610612751,0,0,1
10800024,1610612752.0,110.0,44.0,23.0,9.0,1.0,20.0,21.0,1610612755,1610612752,0,0,1
10800024,1610612755.0,104.0,36.0,26.0,9.0,2.0,15.0,25.0,1610612755,1610612752,0,1,0
10800025,1610612764.0,62.0,42.0,16.0,8.0,6.0,24.0,21.0,1610612764,1610612765,0,1,0
10800025,1610612765.0,73.0,36.0,18.0,13.0,4.0,17.0,17.0,1610612764,1610612765,0,0,1
10800027,1610612741.0,95.0,50.0,18.0,8.0,5.0,18.0,35.0,1610612754,1610612741,1,0,0
10800027,1610612754.0,102.0,46.0,20.0,9.0,6.0,15.0,24.0,1610612754,1610612741,1,1,1
